Name,NCBI Genome,RefSeq FTP,GenBank FTP,Size (Mb),PEG,Repeat Regions,RNA,tRNA,rRNA,GC%,Isolation Country,Genome Length
Helicobacter pylori 21-F-EK1,582924,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/385/GCF_006337385.1_ASM633738v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/385/GCA_006337385.1_ASM633738v1,1.58334,1578,36,41,35,6,39,Germany,1583343
Helicobacter pylori 23-A-EK1,582933,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/045/GCF_006338045.1_ASM633804v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/045/GCA_006338045.1_ASM633804v1,1.67916,1650,67,41,35,6,38.8,Germany,1679162
Helicobacter pylori 24-A-EK1,590132,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/875/GCF_006337875.1_ASM633787v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/875/GCA_006337875.1_ASM633787v1,1.6595,1639,57,40,34,6,38.9,Germany,1659500
Helicobacter pylori 25-A-EK1,582942,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/339/235/GCF_006339235.1_ASM633923v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/339/235/GCA_006339235.1_ASM633923v1,1.54021,1530,43,40,34,6,39.1,Germany,1540214
Helicobacter pylori 25-A-EK9,582923,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/365/GCF_006337365.1_ASM633736v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/365/GCA_006337365.1_ASM633736v1,1.54014,1533,45,40,34,6,39.2,Germany,1540135
Helicobacter pylori 26695,299772,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1,1.66787,1687,86,40,34,6,38.9,United Kingdom,1667867
Helicobacter pylori 26-A-EK1,582931,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/745/GCF_006337745.1_ASM633774v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/745/GCA_006337745.1_ASM633774v1,1.64342,1679,61,41,35,6,38.9,Germany,1643421
Helicobacter pylori 280-A-EK1,582928,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/465/GCF_006337465.1_ASM633746v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/465/GCA_006337465.1_ASM633746v1,1.60944,1633,52,41,35,6,39,Germany,1609437
Helicobacter pylori 29CaP,256367,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/495/GCF_001433495.1_ASM143349v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/495/GCA_001433495.1_ASM143349v1,1.66716,1714,43,41,35,6,38.8,Mexico,1667159
Helicobacter pylori 35A,163540,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/935/GCF_000178935.2_ASM17893v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/935/GCA_000178935.2_ASM17893v2,1.56665,1593,44,41,35,6,38.9,,1566655
Helicobacter pylori 381-A-EK4,582927,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/445/GCF_006337445.1_ASM633744v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/445/GCA_006337445.1_ASM633744v1,1.57943,1600,71,41,35,6,39.1,Germany,1579431
Helicobacter pylori 381-C-EK1,582921,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/325/GCF_006337325.1_ASM633732v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/325/GCA_006337325.1_ASM633732v1,1.58899,1612,83,41,35,6,39.1,Germany,1588985
Helicobacter pylori 381-F-EK9,582920,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/305/GCF_006337305.1_ASM633730v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/305/GCA_006337305.1_ASM633730v1,1.58096,1601,74,41,35,6,39.1,Germany,1580965
Helicobacter pylori 476-A2-EK2,582919,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/285/GCF_006337285.1_ASM633728v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/285/GCA_006337285.1_ASM633728v1,1.64954,1649,101,41,35,6,38.9,Germany,1649543
Helicobacter pylori 476-A-EK5,582926,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/425/GCF_006337425.1_ASM633742v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/425/GCA_006337425.1_ASM633742v1,1.6348,1652,84,41,35,6,38.9,Germany,1634797
Helicobacter pylori 476-C-EK5,582939,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/815/GCF_006338815.1_ASM633881v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/815/GCA_006338815.1_ASM633881v1,1.60138,1613,76,41,35,6,39,Germany,1601381
Helicobacter pylori 478-A-EK1,582941,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/339/065/GCF_006339065.1_ASM633906v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/339/065/GCA_006339065.1_ASM633906v1,1.62862,1621,51,41,35,6,38.9,Germany,1628623
Helicobacter pylori 479-A2-EK4,582918,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/265/GCF_006337265.1_ASM633726v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/265/GCA_006337265.1_ASM633726v1,1.63644,1621,39,41,35,6,38.9,Germany,1636444
Helicobacter pylori 479-C2-EK2,582938,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/685/GCF_006338685.1_ASM633868v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/685/GCA_006338685.1_ASM633868v1,1.63778,1619,41,41,35,6,38.9,Germany,1637783
Helicobacter pylori 479-C-EK2,582940,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/945/GCF_006338945.1_ASM633894v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/945/GCA_006338945.1_ASM633894v1,1.63802,1621,39,41,35,6,38.9,Germany,1638022
Helicobacter pylori 51,163527,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/725/GCF_000011725.1_ASM1172v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/725/GCA_000011725.1_ASM1172v1,1.58995,1616,43,40,34,6,38.8,South Korea,1589954
Helicobacter pylori 52,163532,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/805/GCF_000023805.1_ASM2380v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/805/GCA_000023805.1_ASM2380v1,1.56883,1581,51,41,35,6,38.9,,1568826
Helicobacter pylori 5-A-EK1,582943,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/339/365/GCF_006339365.1_ASM633936v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/339/365/GCA_006339365.1_ASM633936v1,1.59699,1601,63,40,34,6,39,Germany,1596986
Helicobacter pylori 7.13,650022,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/836/855/GCF_007836855.1_ASM783685v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/836/855/GCA_007836855.1_ASM783685v1,1.67674,1681,62,40,34,6,38.8,,1676743
Helicobacter pylori 7C,256368,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/515/GCF_001433515.1_ASM143351v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/515/GCA_001433515.1_ASM143351v1,1.63128,1626,42,40,34,6,38.9895,Mexico,1631276
Helicobacter pylori 83,163548,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/135/GCF_000213135.1_ASM21313v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/135/GCA_000213135.1_ASM21313v1,1.61743,1641,49,41,35,6,38.7,,1617426
Helicobacter pylori 908,163535,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/665/GCF_000148665.1_ASM14866v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/665/GCA_000148665.1_ASM14866v1,1.54967,1605,13,38,35,3,39.3,,1549666
Helicobacter pylori Aklavik117,163566,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/955/GCF_000315955.1_ASM31595v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/955/GCA_000315955.1_ASM31595v1,1.63613,1614,64,40,34,6,38.7292,Canada,1636125
Helicobacter pylori Aklavik86,163567,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/875/GCF_000317875.1_ASM31787v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/875/GCA_000317875.1_ASM31787v1,1.50793,1480,41,41,35,6,39.253,Canada,1507930
Helicobacter pylori ATCC 43504,454106,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/295/525/GCF_004295525.1_HPATCC43504_01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/295/525/GCA_004295525.1_HPATCC43504_01,1.68083,1713,70,41,35,6,38.8,,1680829
Helicobacter pylori B125A,650021,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/836/735/GCF_007836735.1_ASM783673v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/836/735/GCA_007836735.1_ASM783673v1,1.64396,1647,56,41,35,6,38.9,,1643956
Helicobacter pylori B128,650028,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/844/075/GCF_007844075.1_ASM784407v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/844/075/GCA_007844075.1_ASM784407v1,1.67536,1683,62,40,34,6,38.8,,1675360
Helicobacter pylori B130A,650027,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/844/055/GCF_007844055.1_ASM784405v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/844/055/GCA_007844055.1_ASM784405v1,1.64604,1669,56,41,35,6,38.9,,1646042
Helicobacter pylori B136A,650026,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/844/035/GCF_007844035.1_ASM784403v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/844/035/GCA_007844035.1_ASM784403v1,1.66352,1670,75,41,35,6,38.9,,1663520
Helicobacter pylori B140,650025,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/843/915/GCF_007843915.1_ASM784391v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/843/915/GCA_007843915.1_ASM784391v1,1.72684,1745,59,41,35,6,38.7,,1726836
Helicobacter pylori B147,650023,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/843/535/GCF_007843535.1_ASM784353v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/843/535/GCA_007843535.1_ASM784353v1,1.63109,1616,43,41,35,6,38.9,,1631093
Helicobacter pylori B38,163533,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/345/GCF_000091345.1_ASM9134v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/345/GCA_000091345.1_ASM9134v1,1.57676,1585,52,41,35,6,39.2,,1576758
Helicobacter pylori B8,163547,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/755/GCF_000196755.1_ASM19675v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/755/GCA_000196755.1_ASM19675v1,1.68003,1678,55,40,34,6,38.7896,,6032
Helicobacter pylori BM012A,163575,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/498/315/GCF_000498315.1_ASM49831v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/498/315/GCA_000498315.1_ASM49831v1,1.66043,1687,76,42,35,7,38.9,Australia,1660425
Helicobacter pylori BM012S,163576,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/498/335/GCF_000498335.1_ASM49833v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/498/335/GCA_000498335.1_ASM49833v1,1.66047,1693,76,42,35,7,38.9,Australia,1660469
Helicobacter pylori Cuz20,163538,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/895/GCF_000148895.1_ASM14889v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/895/GCA_000148895.1_ASM14889v1,1.63545,1623,60,40,34,6,38.9,Peru,1635449
Helicobacter pylori dRdM1,361911,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/495/GCF_002906495.1_ASM290649v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/495/GCA_002906495.1_ASM290649v1,1.67078,1675,90,40,34,6,38.9,,1670779
Helicobacter pylori dRdM2addM2,364779,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/555/GCF_002953555.1_ASM295355v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/555/GCA_002953555.1_ASM295355v1,1.66874,1674,88,40,34,6,38.9,,1668735
Helicobacter pylori ELS37,163552,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/955/GCF_000255955.1_ASM25595v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/955/GCA_000255955.1_ASM25595v1,1.66988,1674,59,40,34,6,38.8905,El Salvador,5289
Helicobacter pylori F16,163555,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/005/GCF_000270005.1_ASM27000v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/005/GCA_000270005.1_ASM27000v1,1.5754,1599,48,41,35,6,38.9,,1575399
Helicobacter pylori F30,163556,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/025/GCF_000270025.1_ASM27002v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/025/GCA_000270025.1_ASM27002v1,1.57969,1585,35,41,35,6,38.7728,,1579693
Helicobacter pylori F32,163557,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/045/GCF_000270045.1_ASM27004v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/045/GCA_000270045.1_ASM27004v1,1.58146,1589,38,41,35,6,38.8963,,1581461
Helicobacter pylori F57,163558,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/065/GCF_000270065.1_ASM27006v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/065/GCA_000270065.1_ASM27006v1,1.60901,1627,50,41,35,6,38.7,,1609006
Helicobacter pylori FDAARGOS_298,371939,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/050/665/GCF_003050665.1_ASM305066v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/050/665/GCA_003050665.1_ASM305066v1,1.6809,1692,70,41,35,6,38.8,United States,1680898
Helicobacter pylori FDAARGOS_300,366545,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/983/705/GCF_002983705.1_ASM298370v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/983/705/GCA_002983705.1_ASM298370v1,1.64574,1625,60,41,35,6,39.2,United States,1645738
Helicobacter pylori G27,299776,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/165/GCF_000021165.1_ASM2116v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/165/GCA_000021165.1_ASM2116v1,1.66301,1689,57,41,35,6,38.8759,,10031
Helicobacter pylori G272,324066,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/575/GCF_002222575.1_ASM222257v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/575/GCA_002222575.1_ASM222257v1,1.58487,1616,70,42,36,6,38.8746,China,1584869
Helicobacter pylori Gambia94/24,163542,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/205/GCF_000185205.1_ASM18520v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/205/GCA_000185205.1_ASM18520v1,1.71247,1698,61,41,35,6,39.0975,,1712468
Helicobacter pylori GD63,410760,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/640/585/GCF_003640585.1_ASM364058v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/640/585/GCA_003640585.1_ASM364058v1,1.59097,1657,43,41,35,6,38.7695,Viet Nam,1590969
Helicobacter pylori H-137,431758,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/395/GCF_003957395.1_ASM395739v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/395/GCA_003957395.1_ASM395739v1,1.63744,1661,57,40,34,6,38.7,South Korea,1637442
Helicobacter pylori HE101/09,348358,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/255/GCF_900120255.1_HE101_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/255/GCA_900120255.1_HE101_09,1.66782,1672,68,41,35,6,39.1,,1667821
Helicobacter pylori HE132/09,348354,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/135/GCF_900120135.1_HE132_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/135/GCA_900120135.1_HE132_09,1.66817,1669,68,41,35,6,39.1,,1668174
Helicobacter pylori HE134/09,348355,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/185/GCF_900120185.1_HE134_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/185/GCA_900120185.1_HE134_09,1.66786,1675,68,41,35,6,39.1,,1667858
Helicobacter pylori HE136/09,348357,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/225/GCF_900120225.1_HE136_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/225/GCA_900120225.1_HE136_09,1.66798,1676,68,41,35,6,39.1,,1667978
Helicobacter pylori HE141/09,348356,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/205/GCF_900120205.1_HE141_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/205/GCA_900120205.1_HE141_09,1.67038,1677,70,41,35,6,39.1,,1670384
Helicobacter pylori HE142/09,348359,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/275/GCF_900120275.1_HE142_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/275/GCA_900120275.1_HE142_09,1.66794,1672,68,41,35,6,39.1,,1667936
Helicobacter pylori HE143/09,348352,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/119/995/GCF_900119995.1_HE143_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/119/995/GCA_900119995.1_HE143_09,1.6678,1683,68,41,35,6,39.1,,1667804
Helicobacter pylori HE147/09,348361,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/335/GCF_900120335.1_HE147_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/335/GCA_900120335.1_HE147_09,1.66771,1679,70,41,35,6,39.1,,1667712
Helicobacter pylori HE170/09,348360,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/315/GCF_900120315.1_HE170_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/315/GCA_900120315.1_HE170_09,1.67032,1676,70,41,35,6,39.1,,1670321
Helicobacter pylori HE171/09,348351,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/119/955/GCF_900119955.1_HE171_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/119/955/GCA_900119955.1_HE171_09,1.66762,1665,68,41,35,6,39.1,,1667625
Helicobacter pylori HE178/09,348353,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/055/GCF_900120055.1_HE178_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/055/GCA_900120055.1_HE178_09,1.66789,1682,68,41,35,6,39.1,,1667894
Helicobacter pylori HE93/10_v1,348362,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/176/185/GCF_900176185.1_HE93_10,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/176/185/GCA_900176185.1_HE93_10,1.6828,1682,72,41,35,6,39.1,,1682800
Helicobacter pylori Hp238,216679,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/025/GCF_000817025.1_ASM81702v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/817/025/GCA_000817025.1_ASM81702v1,1.58647,1614,46,39,34,5,38.7,Taiwan,1586473
Helicobacter pylori HP42K,430794,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/939/085/GCF_003939085.1_ASM393908v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/939/085/GCA_003939085.1_ASM393908v1,1.65845,1664,42,40,34,6,38.8796,Belarus,1658454
Helicobacter pylori HPAG1,299774,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/245/GCF_000013245.1_ASM1324v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/245/GCA_000013245.1_ASM1324v1,1.60574,1614,54,41,35,6,39.0842,,1605736
Helicobacter pylori Hpbs1,426476,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/855/475/GCF_003855475.1_ASM385547v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/855/475/GCA_003855475.1_ASM385547v1,1.5637,1580,48,41,35,6,38.9,China,1563701
Helicobacter pylori Hpbs2,440859,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/088/155/GCF_004088155.1_ASM408815v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/088/155/GCA_004088155.1_ASM408815v1,1.53525,1558,38,40,34,6,38.9,China,1535248
Helicobacter pylori Hpbs3,440858,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/088/075/GCF_004088075.1_ASM408807v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/088/075/GCA_004088075.1_ASM408807v1,1.51467,1530,45,40,34,6,39,China,1514674
Helicobacter pylori HPJP26,331690,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/595/GCF_002356595.1_ASM235659v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/595/GCA_002356595.1_ASM235659v1,1.57835,1632,65,41,35,6,38.9,United States,1578351
Helicobacter pylori HUP-B14,163553,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/259/235/GCF_000259235.1_ASM25923v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/259/235/GCA_000259235.1_ASM25923v1,1.60758,1601,55,41,35,6,39.0866,Spain,1607584
Helicobacter pylori India7,163541,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/185/GCF_000185185.1_ASM18518v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/185/GCA_000185185.1_ASM18518v1,1.67592,1667,45,40,34,6,38.9,,1675918
Helicobacter pylori J166,163586,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/625/GCF_000685625.1_ASM68562v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/625/GCA_000685625.1_ASM68562v1,1.65056,1626,55,41,35,6,38.9,,1650561
